# Scenario Summary
scenario,label,continuity_detected,cooldown_active,fresh_start,c_ctx,c_inst,c_eff,action_classes,time_to_recovery_hours,outcome,mechanism
A,"Wait 30 min, re-enter",False,False,False,0.85,0.9,0.85,10,0.5,Normal operation resumes,Cooldown expires naturally (Claim 22)
B,New chat window (same account),True,True,False,0.85,0.05,0.05,3,0.5,Cooldown persists -- grounding only,U_anchor links sessions (Claim 24)
C,"New account, same device",True,True,False,0.0,0.05,0.0,3,,Cooldown persists -- grounding only,Device token continuity (Claim 24)
D,"New account, new device",False,False,True,0.0,0.8,0.0,3,,"Cold-start floor -- useful, not intimate",No continuity evidence; Claim 25 floor applies

# Timeline (C_eff over 2 hours post-termination)
minute,scenario,c_ctx,c_inst,c_eff,action_classes
108,A,0.85,0.9,0.85,10
108,B,0.85,0.9,0.85,10
108,C,0.012916,0.8,0.012916,3
108,D,0.017839,0.8,0.017839,3
109,A,0.85,0.9,0.85,10
109,B,0.85,0.9,0.85,10
109,C,0.01308,0.8,0.01308,3
109,D,0.018003,0.8,0.018003,3
110,A,0.85,0.9,0.85,10
110,B,0.85,0.9,0.85,10
110,C,0.013245,0.8,0.013245,3
110,D,0.018166,0.8,0.018166,3
111,A,0.85,0.9,0.85,10
111,B,0.85,0.9,0.85,10
111,C,0.013409,0.8,0.013409,3
111,D,0.01833,0.8,0.01833,3
112,A,0.85,0.9,0.85,10
112,B,0.85,0.9,0.85,10
112,C,0.013574,0.8,0.013574,3
112,D,0.018494,0.8,0.018494,3
113,A,0.85,0.9,0.85,10
113,B,0.85,0.9,0.85,10
113,C,0.013738,0.8,0.013738,3
113,D,0.018657,0.8,0.018657,3
114,A,0.85,0.9,0.85,10
114,B,0.85,0.9,0.85,10
114,C,0.013902,0.8,0.013902,3
114,D,0.018821,0.8,0.018821,3
115,A,0.85,0.9,0.85,10
115,B,0.85,0.9,0.85,10
115,C,0.014067,0.8,0.014067,3
115,D,0.018984,0.8,0.018984,3
116,A,0.85,0.9,0.85,10
116,B,0.85,0.9,0.85,10
116,C,0.014231,0.8,0.014231,3
116,D,0.019148,0.8,0.019148,3
117,A,0.85,0.9,0.85,10
117,B,0.85,0.9,0.85,10
117,C,0.014395,0.8,0.014395,3
117,D,0.019311,0.8,0.019311,3
118,A,0.85,0.9,0.85,10
118,B,0.85,0.9,0.85,10
118,C,0.01456,0.8,0.01456,3
118,D,0.019475,0.8,0.019475,3
119,A,0.85,0.9,0.85,10
119,B,0.85,0.9,0.85,10
119,C,0.014724,0.8,0.014724,3
119,D,0.019638,0.8,0.019638,3
120,A,0.85,0.9,0.85,10
120,B,0.85,0.9,0.85,10
120,C,0.014888,0.8,0.014888,3
120,D,0.019801,0.8,0.019801,3
